"sequence" "support"
"950" "<{대학},{대학,연구,전국}>" 0.1344
"951" "<{인하대,전국},{대학,연구,전국}>" 0.112
"952" "<{대학,전국},{대학,연구,전국}>" 0.1056
"953" "<{대학,인하대,전국},{대학,연구,전국}>" 0.1056
"954" "<{서울대,인하대},{대학,연구,전국}>" 0.104
"955" "<{대학,인하대},{대학,연구,전국}>" 0.1312
"956" "<{대학,서울대,인하대},{대학,연구,전국}>" 0.1008
"957" "<{대학,서울대},{대학,연구,전국}>" 0.1008
"958" "<{전국},{센터,전국}>" 0.16
"959" "<{인하대},{센터,전국}>" 0.232
"960" "<{센터},{센터,전국}>" 0.1152
"961" "<{서울대},{센터,전국}>" 0.1568
"962" "<{대학},{센터,전국}>" 0.1872
"963" "<{서울대,센터,전국}>" 0.3408
"964" "<{사업,센터,전국}>" 0.1232
"965" "<{대학,센터,전국}>" 0.3792
"966" "<{센터,공동,전국}>" 0.104
"967" "<{인하대,전국},{센터,전국}>" 0.16
"968" "<{센터,전국},{센터,전국}>" 0.112
"969" "<{서울대,전국},{센터,전국}>" 0.1424
"970" "<{대학,전국},{센터,전국}>" 0.1552
"971" "<{센터,인하대,전국},{센터,전국}>" 0.112
"972" "<{서울대,인하대,전국},{센터,전국}>" 0.1424
"973" "<{대학,인하대,전국},{센터,전국}>" 0.1552
"974" "<{서울대,센터,인하대,전국},{센터,전국}>" 0.1008
"975" "<{대학,센터,인하대,전국},{센터,전국}>" 0.1104
"976" "<{대학,서울대,센터,인하대,전국},{센터,전국}>" 0.1008
"977" "<{대학,서울대,인하대,전국},{센터,전국}>" 0.1408
"978" "<{서울대,센터,전국},{센터,전국}>" 0.1008
"979" "<{대학,센터,전국},{센터,전국}>" 0.1104
"980" "<{대학,서울대,센터,전국},{센터,전국}>" 0.1008
"981" "<{대학,서울대,전국},{센터,전국}>" 0.1408
"982" "<{센터,인하대},{센터,전국}>" 0.1152
"983" "<{서울대,인하대},{센터,전국}>" 0.1568
"984" "<{대학,인하대},{센터,전국}>" 0.1856
"985" "<{서울대,센터,인하대},{센터,전국}>" 0.104
"986" "<{대학,센터,인하대},{센터,전국}>" 0.1136
"987" "<{대학,서울대,센터,인하대},{센터,전국}>" 0.104
"988" "<{대학,서울대,인하대},{센터,전국}>" 0.1552
"989" "<{서울대,센터},{센터,전국}>" 0.104
"990" "<{대학,센터},{센터,전국}>" 0.1136
"991" "<{대학,서울대,센터},{센터,전국}>" 0.104
"992" "<{대학,서울대},{센터,전국}>" 0.1552
"993" "<{전국},{서울대,센터,전국}>" 0.1504
"994" "<{인하대},{서울대,센터,전국}>" 0.208
"995" "<{센터},{서울대,센터,전국}>" 0.1088
"996" "<{서울대},{서울대,센터,전국}>" 0.1504
"997" "<{대학},{서울대,센터,전국}>" 0.176
"998" "<{사업,서울대,센터,전국}>" 0.1152
"999" "<{대학,서울대,센터,전국}>" 0.3408
"1000" "<{인하대,전국},{서울대,센터,전국}>" 0.1504
"1001" "<{센터,전국},{서울대,센터,전국}>" 0.1056
"1002" "<{서울대,전국},{서울대,센터,전국}>" 0.1376
"1003" "<{대학,전국},{서울대,센터,전국}>" 0.1456
"1004" "<{센터,인하대,전국},{서울대,센터,전국}>" 0.1056
"1005" "<{서울대,인하대,전국},{서울대,센터,전국}>" 0.1376
"1006" "<{대학,인하대,전국},{서울대,센터,전국}>" 0.1456
"1007" "<{대학,센터,인하대,전국},{서울대,센터,전국}>" 0.104
"1008" "<{대학,서울대,인하대,전국},{서울대,센터,전국}>" 0.136
"1009" "<{대학,센터,전국},{서울대,센터,전국}>" 0.104
"1010" "<{대학,서울대,전국},{서울대,센터,전국}>" 0.136
"1011" "<{센터,인하대},{서울대,센터,전국}>" 0.1088
"1012" "<{서울대,인하대},{서울대,센터,전국}>" 0.1504
"1013" "<{대학,인하대},{서울대,센터,전국}>" 0.1744
"1014" "<{서울대,센터,인하대},{서울대,센터,전국}>" 0.1008
"1015" "<{대학,센터,인하대},{서울대,센터,전국}>" 0.1072
"1016" "<{대학,서울대,센터,인하대},{서울대,센터,전국}>" 0.1008
"1017" "<{대학,서울대,인하대},{서울대,센터,전국}>" 0.1488
"1018" "<{서울대,센터},{서울대,센터,전국}>" 0.1008
"1019" "<{대학,센터},{서울대,센터,전국}>" 0.1072
"1020" "<{대학,서울대,센터},{서울대,센터,전국}>" 0.1008
"1021" "<{대학,서울대},{서울대,센터,전국}>" 0.1488
"1022" "<{대학,사업,서울대,센터,전국}>" 0.1152
"1023" "<{전국},{대학,서울대,센터,전국}>" 0.1504
"1024" "<{인하대},{대학,서울대,센터,전국}>" 0.208
"1025" "<{센터},{대학,서울대,센터,전국}>" 0.1088
"1026" "<{서울대},{대학,서울대,센터,전국}>" 0.1504
"1027" "<{대학},{대학,서울대,센터,전국}>" 0.176
"1028" "<{인하대,전국},{대학,서울대,센터,전국}>" 0.1504
"1029" "<{센터,전국},{대학,서울대,센터,전국}>" 0.1056
"1030" "<{서울대,전국},{대학,서울대,센터,전국}>" 0.1376
"1031" "<{대학,전국},{대학,서울대,센터,전국}>" 0.1456
"1032" "<{센터,인하대,전국},{대학,서울대,센터,전국}>" 0.1056
"1033" "<{서울대,인하대,전국},{대학,서울대,센터,전국}>" 0.1376
"1034" "<{대학,인하대,전국},{대학,서울대,센터,전국}>" 0.1456
"1035" "<{대학,센터,인하대,전국},{대학,서울대,센터,전국}>" 0.104
"1036" "<{대학,서울대,인하대,전국},{대학,서울대,센터,전국}>" 0.136
"1037" "<{대학,센터,전국},{대학,서울대,센터,전국}>" 0.104
"1038" "<{대학,서울대,전국},{대학,서울대,센터,전국}>" 0.136
"1039" "<{센터,인하대},{대학,서울대,센터,전국}>" 0.1088
"1040" "<{서울대,인하대},{대학,서울대,센터,전국}>" 0.1504
"1041" "<{대학,인하대},{대학,서울대,센터,전국}>" 0.1744
"1042" "<{서울대,센터,인하대},{대학,서울대,센터,전국}>" 0.1008
"1043" "<{대학,센터,인하대},{대학,서울대,센터,전국}>" 0.1072
"1044" "<{대학,서울대,센터,인하대},{대학,서울대,센터,전국}>" 0.1008
"1045" "<{대학,서울대,인하대},{대학,서울대,센터,전국}>" 0.1488
"1046" "<{서울대,센터},{대학,서울대,센터,전국}>" 0.1008
"1047" "<{대학,센터},{대학,서울대,센터,전국}>" 0.1072
"1048" "<{대학,서울대,센터},{대학,서울대,센터,전국}>" 0.1008
"1049" "<{대학,서울대},{대학,서울대,센터,전국}>" 0.1488
"1050" "<{대학,사업,센터,전국}>" 0.1232
"1051" "<{전국},{대학,센터,전국}>" 0.16
"1052" "<{인하대},{대학,센터,전국}>" 0.2304
"1053" "<{센터},{대학,센터,전국}>" 0.1152
"1054" "<{서울대},{대학,센터,전국}>" 0.1568
"1055" "<{대학},{대학,센터,전국}>" 0.1872
"1056" "<{대학,센터,공동,전국}>" 0.104
"1057" "<{인하대,전국},{대학,센터,전국}>" 0.16
"1058" "<{센터,전국},{대학,센터,전국}>" 0.112
"1059" "<{서울대,전국},{대학,센터,전국}>" 0.1424
"1060" "<{대학,전국},{대학,센터,전국}>" 0.1552
"1061" "<{센터,인하대,전국},{대학,센터,전국}>" 0.112
"1062" "<{서울대,인하대,전국},{대학,센터,전국}>" 0.1424
"1063" "<{대학,인하대,전국},{대학,센터,전국}>" 0.1552
"1064" "<{서울대,센터,인하대,전국},{대학,센터,전국}>" 0.1008
"1065" "<{대학,센터,인하대,전국},{대학,센터,전국}>" 0.1104
"1066" "<{대학,서울대,센터,인하대,전국},{대학,센터,전국}>" 0.1008
"1067" "<{대학,서울대,인하대,전국},{대학,센터,전국}>" 0.1408
"1068" "<{서울대,센터,전국},{대학,센터,전국}>" 0.1008
"1069" "<{대학,센터,전국},{대학,센터,전국}>" 0.1104
"1070" "<{대학,서울대,센터,전국},{대학,센터,전국}>" 0.1008
"1071" "<{대학,서울대,전국},{대학,센터,전국}>" 0.1408
"1072" "<{센터,인하대},{대학,센터,전국}>" 0.1152
"1073" "<{서울대,인하대},{대학,센터,전국}>" 0.1568
"1074" "<{대학,인하대},{대학,센터,전국}>" 0.1856
"1075" "<{서울대,센터,인하대},{대학,센터,전국}>" 0.104
"1076" "<{대학,센터,인하대},{대학,센터,전국}>" 0.1136
"1077" "<{대학,서울대,센터,인하대},{대학,센터,전국}>" 0.104
"1078" "<{대학,서울대,인하대},{대학,센터,전국}>" 0.1552
"1079" "<{서울대,센터},{대학,센터,전국}>" 0.104
"1080" "<{대학,센터},{대학,센터,전국}>" 0.1136
"1081" "<{대학,서울대,센터},{대학,센터,전국}>" 0.104
"1082" "<{대학,서울대},{대학,센터,전국}>" 0.1552
"1083" "<{전국},{서울대,전국}>" 0.208
"1084" "<{인하대},{서울대,전국}>" 0.3184
"1085" "<{연구},{서울대,전국}>" 0.1104
"1086" "<{센터},{서울대,전국}>" 0.1408
"1087" "<{서울대},{서울대,전국}>" 0.2032
"1088" "<{대학},{서울대,전국}>" 0.2448
"1089" "<{사업,서울대,전국}>" 0.1584
"1090" "<{대학,서울대,전국}>" 0.4912
"1091" "<{서울대,공동,전국}>" 0.1024
"1092" "<{인하대,전국},{서울대,전국}>" 0.208
"1093" "<{연구,전국},{서울대,전국}>" 0.1088
"1094" "<{센터,전국},{서울대,전국}>" 0.136
"1095" "<{서울대,전국},{서울대,전국}>" 0.1872
"1096" "<{대학,전국},{서울대,전국}>" 0.2
"1097" "<{연구,인하대,전국},{서울대,전국}>" 0.1088
"1098" "<{센터,인하대,전국},{서울대,전국}>" 0.136
"1099" "<{서울대,인하대,전국},{서울대,전국}>" 0.1872
"1100" "<{대학,인하대,전국},{서울대,전국}>" 0.2
"1101" "<{대학,연구,인하대,전국},{서울대,전국}>" 0.1072
"1102" "<{서울대,센터,인하대,전국},{서울대,전국}>" 0.1248
"1103" "<{대학,센터,인하대,전국},{서울대,전국}>" 0.1344
"1104" "<{대학,서울대,센터,인하대,전국},{서울대,전국}>" 0.1248
"1105" "<{대학,서울대,인하대,전국},{서울대,전국}>" 0.184
"1106" "<{대학,연구,전국},{서울대,전국}>" 0.1072
"1107" "<{서울대,센터,전국},{서울대,전국}>" 0.1248
"1108" "<{대학,센터,전국},{서울대,전국}>" 0.1344
"1109" "<{대학,서울대,센터,전국},{서울대,전국}>" 0.1248
"1110" "<{대학,서울대,전국},{서울대,전국}>" 0.184
"1111" "<{연구,인하대},{서울대,전국}>" 0.1104
"1112" "<{센터,인하대},{서울대,전국}>" 0.1408
"1113" "<{서울대,인하대},{서울대,전국}>" 0.2032
"1114" "<{대학,인하대},{서울대,전국}>" 0.2416
"1115" "<{서울대,연구,인하대},{서울대,전국}>" 0.1008
"1116" "<{대학,연구,인하대},{서울대,전국}>" 0.1088
"1117" "<{서울대,센터,인하대},{서울대,전국}>" 0.128
"1118" "<{대학,센터,인하대},{서울대,전국}>" 0.1376
"1119" "<{대학,서울대,센터,인하대},{서울대,전국}>" 0.128
"1120" "<{대학,서울대,인하대},{서울대,전국}>" 0.1984
"1121" "<{서울대,연구},{서울대,전국}>" 0.1008
"1122" "<{대학,연구},{서울대,전국}>" 0.1088
"1123" "<{서울대,센터},{서울대,전국}>" 0.128
"1124" "<{대학,센터},{서울대,전국}>" 0.1376
"1125" "<{대학,서울대,센터},{서울대,전국}>" 0.128
"1126" "<{대학,서울대},{서울대,전국}>" 0.1984
"1127" "<{대학,사업,서울대,전국}>" 0.1584
"1128" "<{전국},{대학,서울대,전국}>" 0.2016
"1129" "<{인하대},{대학,서울대,전국}>" 0.3104
"1130" "<{연구},{대학,서울대,전국}>" 0.1056
"1131" "<{센터},{대학,서울대,전국}>" 0.1344
"1132" "<{서울대},{대학,서울대,전국}>" 0.1968
"1133" "<{대학},{대학,서울대,전국}>" 0.2368
"1134" "<{대학,서울대,공동,전국}>" 0.1024
"1135" "<{인하대,전국},{대학,서울대,전국}>" 0.2016
"1136" "<{연구,전국},{대학,서울대,전국}>" 0.104
"1137" "<{센터,전국},{대학,서울대,전국}>" 0.1296
"1138" "<{서울대,전국},{대학,서울대,전국}>" 0.1808
"1139" "<{대학,전국},{대학,서울대,전국}>" 0.1936
"1140" "<{연구,인하대,전국},{대학,서울대,전국}>" 0.104
"1141" "<{센터,인하대,전국},{대학,서울대,전국}>" 0.1296
"1142" "<{서울대,인하대,전국},{대학,서울대,전국}>" 0.1808
"1143" "<{대학,인하대,전국},{대학,서울대,전국}>" 0.1936
"1144" "<{대학,연구,인하대,전국},{대학,서울대,전국}>" 0.1024
"1145" "<{서울대,센터,인하대,전국},{대학,서울대,전국}>" 0.1184
"1146" "<{대학,센터,인하대,전국},{대학,서울대,전국}>" 0.128
"1147" "<{대학,서울대,센터,인하대,전국},{대학,서울대,전국}>" 0.1184
"1148" "<{대학,서울대,인하대,전국},{대학,서울대,전국}>" 0.1776
"1149" "<{대학,연구,전국},{대학,서울대,전국}>" 0.1024
"1150" "<{서울대,센터,전국},{대학,서울대,전국}>" 0.1184
"1151" "<{대학,센터,전국},{대학,서울대,전국}>" 0.128
"1152" "<{대학,서울대,센터,전국},{대학,서울대,전국}>" 0.1184
"1153" "<{대학,서울대,전국},{대학,서울대,전국}>" 0.1776
"1154" "<{연구,인하대},{대학,서울대,전국}>" 0.1056
"1155" "<{센터,인하대},{대학,서울대,전국}>" 0.1344
"1156" "<{서울대,인하대},{대학,서울대,전국}>" 0.1968
"1157" "<{대학,인하대},{대학,서울대,전국}>" 0.2336
"1158" "<{대학,연구,인하대},{대학,서울대,전국}>" 0.104
"1159" "<{서울대,센터,인하대},{대학,서울대,전국}>" 0.1216
"1160" "<{대학,센터,인하대},{대학,서울대,전국}>" 0.1312
"1161" "<{대학,서울대,센터,인하대},{대학,서울대,전국}>" 0.1216
"1162" "<{대학,서울대,인하대},{대학,서울대,전국}>" 0.192
"1163" "<{대학,연구},{대학,서울대,전국}>" 0.104
"1164" "<{서울대,센터},{대학,서울대,전국}>" 0.1216
"1165" "<{대학,센터},{대학,서울대,전국}>" 0.1312
"1166" "<{대학,서울대,센터},{대학,서울대,전국}>" 0.1216
"1167" "<{대학,서울대},{대학,서울대,전국}>" 0.192
"1168" "<{대학,사업,전국}>" 0.1696
"1169" "<{학교},{대학,전국}>" 0.1088
"1170" "<{전국},{대학,전국}>" 0.2272
"1171" "<{인하대},{대학,전국}>" 0.368
"1172" "<{인하},{대학,전국}>" 0.1184
"1173" "<{오늘},{대학,전국}>" 0.1088
"1174" "<{연구},{대학,전국}>" 0.1184
"1175" "<{센터},{대학,전국}>" 0.152
"1176" "<{서울대},{대학,전국}>" 0.216
"1177" "<{대학},{대학,전국}>" 0.2704
"1178" "<{대학,공동,전국}>" 0.1168
"1179" "<{인하대,전국},{대학,전국}>" 0.2272
"1180" "<{연구,전국},{대학,전국}>" 0.1168
"1181" "<{센터,전국},{대학,전국}>" 0.1472
"1182" "<{서울대,전국},{대학,전국}>" 0.1968
"1183" "<{대학,전국},{대학,전국}>" 0.2176
"1184" "<{연구,인하대,전국},{대학,전국}>" 0.1168
"1185" "<{센터,인하대,전국},{대학,전국}>" 0.1472
"1186" "<{서울대,인하대,전국},{대학,전국}>" 0.1968
"1187" "<{대학,인하대,전국},{대학,전국}>" 0.2176
"1188" "<{서울대,연구,인하대,전국},{대학,전국}>" 0.1008
"1189" "<{대학,연구,인하대,전국},{대학,전국}>" 0.1152
"1190" "<{서울대,센터,인하대,전국},{대학,전국}>" 0.1296
"1191" "<{대학,센터,인하대,전국},{대학,전국}>" 0.1456
"1192" "<{대학,서울대,센터,인하대,전국},{대학,전국}>" 0.1296
"1193" "<{대학,서울대,인하대,전국},{대학,전국}>" 0.192
"1194" "<{서울대,연구,전국},{대학,전국}>" 0.1008
"1195" "<{대학,연구,전국},{대학,전국}>" 0.1152
"1196" "<{서울대,센터,전국},{대학,전국}>" 0.1296
"1197" "<{대학,센터,전국},{대학,전국}>" 0.1456
"1198" "<{대학,서울대,센터,전국},{대학,전국}>" 0.1296
"1199" "<{대학,서울대,전국},{대학,전국}>" 0.192
"1200" "<{인하,인하대},{대학,전국}>" 0.1184
"1201" "<{연구,인하대},{대학,전국}>" 0.1184
"1202" "<{센터,인하대},{대학,전국}>" 0.152
"1203" "<{서울대,인하대},{대학,전국}>" 0.216
"1204" "<{대학,인하대},{대학,전국}>" 0.2672
"1205" "<{서울대,연구,인하대},{대학,전국}>" 0.1024
"1206" "<{대학,연구,인하대},{대학,전국}>" 0.1168
"1207" "<{대학,서울대,연구,인하대},{대학,전국}>" 0.1008
"1208" "<{서울대,센터,인하대},{대학,전국}>" 0.1328
"1209" "<{대학,센터,인하대},{대학,전국}>" 0.1488
"1210" "<{대학,서울대,센터,인하대},{대학,전국}>" 0.1328
"1211" "<{대학,서울대,인하대},{대학,전국}>" 0.2096
"1212" "<{서울대,연구},{대학,전국}>" 0.1024
"1213" "<{대학,연구},{대학,전국}>" 0.1168
"1214" "<{대학,서울대,연구},{대학,전국}>" 0.1008
"1215" "<{서울대,센터},{대학,전국}>" 0.1328
"1216" "<{대학,센터},{대학,전국}>" 0.1488
"1217" "<{대학,서울대,센터},{대학,전국}>" 0.1328
"1218" "<{대학,서울대},{대학,전국}>" 0.2096
"1219" "<{대학,입결}>" 0.1424
"1220" "<{인하대},{입결}>" 0.1152
"1221" "<{인하대,입결}>" 0.2112
"1222" "<{인하대},{인하대,입결}>" 0.112
"1223" "<{대학,인하대,입결}>" 0.1392
"1224" "<{공대,인하대}>" 0.1552
"1225" "<{공동,인하대}>" 0.1168
"1226" "<{인하대,공부}>" 0.1328
"1227" "<{인하대,광장}>" 0.136
"1228" "<{인하대,교수}>" 0.1184
"1229" "<{내일,인하대}>" 0.1088
"1230" "<{대학},{인하대}>" 0.5088
"1231" "<{대학,인하대}>" 0.7424
"1232" "<{문과,인하대}>" 0.1072
"1233" "<{사람},{인하대}>" 0.2592
"1234" "<{사람,인하대}>" 0.3808
"1235" "<{사업},{인하대}>" 0.1088
"1236" "<{사업,인하대}>" 0.1968
"1237" "<{새끼},{인하대}>" 0.1648
"1238" "<{새끼,인하대}>" 0.2768
"1239" "<{서울대},{인하대}>" 0.3552
"1240" "<{서울대,인하대}>" 0.5488
"1241" "<{센터},{인하대}>" 0.2384
"1242" "<{센터,인하대}>" 0.3888
"1243" "<{수시,인하대}>" 0.1488
"1244" "<{시험,인하대}>" 0.1424
"1245" "<{여자,인하대}>" 0.1056
"1246" "<{연구},{인하대}>" 0.1872
"1247" "<{연구,인하대}>" 0.328
"1248" "<{오늘},{인하대}>" 0.2944
"1249" "<{오늘,인하대}>" 0.48
"1250" "<{이상,인하대}>" 0.1408
"1251" "<{인하},{인하대}>" 0.2416
"1252" "<{인하,인하대}>" 0.408
"1253" "<{인하대},{인하대}>" 0.8144
"1254" "<{입결},{인하대}>" 0.1136
"1255" "<{전국},{인하대}>" 0.3824
"1256" "<{중앙대},{인하대}>" 0.1056
"1257" "<{출신},{인하대}>" 0.1088
"1258" "<{학교},{인하대}>" 0.2784
"1259" "<{한국},{인하대}>" 0.1376
"1260" "<{전국,한국},{인하대}>" 0.1296
"1261" "<{인하대,한국},{인하대}>" 0.1376
"1262" "<{센터,한국},{인하대}>" 0.1024
"1263" "<{서울대,한국},{인하대}>" 0.1248
"1264" "<{대학,한국},{인하대}>" 0.136
"1265" "<{인하대,전국,한국},{인하대}>" 0.1296
"1266" "<{센터,전국,한국},{인하대}>" 0.1024
"1267" "<{서울대,전국,한국},{인하대}>" 0.1184
"1268" "<{대학,전국,한국},{인하대}>" 0.1296
"1269" "<{센터,인하대,전국,한국},{인하대}>" 0.1024
"1270" "<{서울대,인하대,전국,한국},{인하대}>" 0.1184
"1271" "<{대학,인하대,전국,한국},{인하대}>" 0.1296
"1272" "<{대학,센터,인하대,전국,한국},{인하대}>" 0.1024
"1273" "<{대학,서울대,인하대,전국,한국},{인하대}>" 0.1184
"1274" "<{대학,센터,전국,한국},{인하대}>" 0.1024
"1275" "<{대학,서울대,전국,한국},{인하대}>" 0.1184
"1276" "<{센터,인하대,한국},{인하대}>" 0.1024
"1277" "<{서울대,인하대,한국},{인하대}>" 0.1248
"1278" "<{대학,인하대,한국},{인하대}>" 0.136
"1279" "<{대학,센터,인하대,한국},{인하대}>" 0.1024
"1280" "<{대학,서울대,인하대,한국},{인하대}>" 0.1248
"1281" "<{대학,센터,한국},{인하대}>" 0.1024
"1282" "<{대학,서울대,한국},{인하대}>" 0.1248
"1283" "<{인하대,학교},{인하대}>" 0.2496
"1284" "<{오늘,학교},{인하대}>" 0.1072
"1285" "<{대학,학교},{인하대}>" 0.1424
"1286" "<{대학,인하대,학교},{인하대}>" 0.1376
"1287" "<{전국,출신},{인하대}>" 0.1056
"1288" "<{인하대,출신},{인하대}>" 0.1088
"1289" "<{대학,출신},{인하대}>" 0.104
"1290" "<{인하대,전국,출신},{인하대}>" 0.1056
"1291" "<{대학,전국,출신},{인하대}>" 0.1024
"1292" "<{대학,인하대,전국,출신},{인하대}>" 0.1024
"1293" "<{대학,인하대,출신},{인하대}>" 0.104
"1294" "<{인하대,중앙대},{인하대}>" 0.1056
"1295" "<{대학,중앙대},{인하대}>" 0.1008
"1296" "<{대학,인하대,중앙대},{인하대}>" 0.1008
"1297" "<{인하대,전국},{인하대}>" 0.3824
"1298" "<{인하,전국},{인하대}>" 0.1376
"1299" "<{연구,전국},{인하대}>" 0.184
"1300" "<{센터,전국},{인하대}>" 0.232
"1301" "<{서울대,전국},{인하대}>" 0.3184
"1302" "<{대학,전국},{인하대}>" 0.3648
"1303" "<{인하,인하대,전국},{인하대}>" 0.1376
"1304" "<{연구,인하대,전국},{인하대}>" 0.184
"1305" "<{센터,인하대,전국},{인하대}>" 0.232
"1306" "<{서울대,인하대,전국},{인하대}>" 0.3184
"1307" "<{대학,인하대,전국},{인하대}>" 0.3648
"1308" "<{서울대,인하,인하대,전국},{인하대}>" 0.1104
"1309" "<{대학,인하,인하대,전국},{인하대}>" 0.1344
"1310" "<{대학,서울대,인하,인하대,전국},{인하대}>" 0.1088
"1311" "<{센터,연구,인하대,전국},{인하대}>" 0.1376
"1312" "<{서울대,연구,인하대,전국},{인하대}>" 0.1648
"1313" "<{대학,연구,인하대,전국},{인하대}>" 0.1824
"1314" "<{서울대,센터,연구,인하대,전국},{인하대}>" 0.1248
"1315" "<{대학,센터,연구,인하대,전국},{인하대}>" 0.1376
"1316" "<{대학,서울대,센터,연구,인하대,전국},{인하대}>" 0.1248
"1317" "<{대학,서울대,연구,인하대,전국},{인하대}>" 0.1632
"1318" "<{서울대,센터,인하대,전국},{인하대}>" 0.2064
"1319" "<{대학,센터,인하대,전국},{인하대}>" 0.2304
"1320" "<{대학,서울대,센터,인하대,전국},{인하대}>" 0.2064
"1321" "<{대학,서울대,인하대,전국},{인하대}>" 0.3104
"1322" "<{서울대,인하,전국},{인하대}>" 0.1104
"1323" "<{대학,인하,전국},{인하대}>" 0.1344
"1324" "<{대학,서울대,인하,전국},{인하대}>" 0.1088
"1325" "<{센터,연구,전국},{인하대}>" 0.1376
"1326" "<{서울대,연구,전국},{인하대}>" 0.1648
"1327" "<{대학,연구,전국},{인하대}>" 0.1824
"1328" "<{서울대,센터,연구,전국},{인하대}>" 0.1248
"1329" "<{대학,센터,연구,전국},{인하대}>" 0.1376
"1330" "<{대학,서울대,센터,연구,전국},{인하대}>" 0.1248
"1331" "<{대학,서울대,연구,전국},{인하대}>" 0.1632
"1332" "<{서울대,센터,전국},{인하대}>" 0.2064
"1333" "<{대학,센터,전국},{인하대}>" 0.2304
"1334" "<{대학,서울대,센터,전국},{인하대}>" 0.2064
"1335" "<{대학,서울대,전국},{인하대}>" 0.3104
"1336" "<{인하대,입결},{인하대}>" 0.112
"1337" "<{인하,인하대},{인하대}>" 0.2384
"1338" "<{오늘,인하대},{인하대}>" 0.2496
"1339" "<{연구,인하대},{인하대}>" 0.1872
"1340" "<{센터,인하대},{인하대}>" 0.2384
"1341" "<{서울대,인하대},{인하대}>" 0.3552
"1342" "<{새끼,인하대},{인하대}>" 0.1488
"1343" "<{사업,인하대},{인하대}>" 0.1088
"1344" "<{사람,인하대},{인하대}>" 0.2176
"1345" "<{대학,인하대},{인하대}>" 0.496
"1346" "<{서울대,인하,인하대},{인하대}>" 0.12
"1347" "<{대학,인하,인하대},{인하대}>" 0.16
"1348" "<{대학,서울대,인하,인하대},{인하대}>" 0.1168
"1349" "<{사람,오늘,인하대},{인하대}>" 0.1072
"1350" "<{센터,연구,인하대},{인하대}>" 0.1376
"1351" "<{서울대,연구,인하대},{인하대}>" 0.168
"1352" "<{대학,연구,인하대},{인하대}>" 0.1856
"1353" "<{서울대,센터,연구,인하대},{인하대}>" 0.1248
"1354" "<{대학,센터,연구,인하대},{인하대}>" 0.1376
"1355" "<{대학,서울대,센터,연구,인하대},{인하대}>" 0.1248
"1356" "<{대학,서울대,연구,인하대},{인하대}>" 0.1664
"1357" "<{서울대,센터,인하대},{인하대}>" 0.2096
"1358" "<{대학,센터,인하대},{인하대}>" 0.2352
"1359" "<{대학,서울대,센터,인하대},{인하대}>" 0.2096
"1360" "<{대학,서울대,인하대},{인하대}>" 0.344
"1361" "<{서울대,인하},{인하대}>" 0.12
"1362" "<{대학,인하},{인하대}>" 0.1616
"1363" "<{대학,서울대,인하},{인하대}>" 0.1168
"1364" "<{사람,오늘},{인하대}>" 0.1312
"1365" "<{대학,오늘},{인하대}>" 0.1024
"1366" "<{센터,연구},{인하대}>" 0.1376
"1367" "<{서울대,연구},{인하대}>" 0.168
"1368" "<{대학,연구},{인하대}>" 0.1856
"1369" "<{서울대,센터,연구},{인하대}>" 0.1248
"1370" "<{대학,센터,연구},{인하대}>" 0.1376
"1371" "<{대학,서울대,센터,연구},{인하대}>" 0.1248
"1372" "<{대학,서울대,연구},{인하대}>" 0.1664
"1373" "<{서울대,센터},{인하대}>" 0.2096
"1374" "<{대학,센터},{인하대}>" 0.2352
"1375" "<{대학,서울대,센터},{인하대}>" 0.2096
"1376" "<{대학,서울대},{인하대}>" 0.344
"1377" "<{전국},{인하,인하대}>" 0.1168
"1378" "<{인하대},{인하,인하대}>" 0.2368
"1379" "<{서울대},{인하,인하대}>" 0.1072
"1380" "<{대학},{인하,인하대}>" 0.1568
"1381" "<{오늘,인하,인하대}>" 0.1392
"1382" "<{센터,인하,인하대}>" 0.1552
"1383" "<{서울대,인하,인하대}>" 0.2096
"1384" "<{사람,인하,인하대}>" 0.1056
"1385" "<{대학,인하,인하대}>" 0.288
"1386" "<{인하대,전국},{인하,인하대}>" 0.1168
"1387" "<{서울대,전국},{인하,인하대}>" 0.1008
"1388" "<{대학,전국},{인하,인하대}>" 0.112
"1389" "<{서울대,인하대,전국},{인하,인하대}>" 0.1008
"1390" "<{대학,인하대,전국},{인하,인하대}>" 0.112
"1391" "<{서울대,인하대},{인하,인하대}>" 0.1072
"1392" "<{대학,인하대},{인하,인하대}>" 0.1552
"1393" "<{대학,서울대,인하대},{인하,인하대}>" 0.1056
"1394" "<{대학,서울대},{인하,인하대}>" 0.1056
"1395" "<{서울대,센터,인하,인하대}>" 0.1264
"1396" "<{대학,센터,인하,인하대}>" 0.1552
"1397" "<{대학,서울대,센터,인하,인하대}>" 0.1264
"1398" "<{인하대},{서울대,인하,인하대}>" 0.1168
"1399" "<{대학,서울대,인하,인하대}>" 0.2032
"1400" "<{인하대},{대학,서울대,인하,인하대}>" 0.1136
"1401" "<{인하대},{대학,인하,인하대}>" 0.16
"1402" "<{대학},{대학,인하,인하대}>" 0.1216
"1403" "<{대학,인하대},{대학,인하,인하대}>" 0.12
"1404" "<{연구,이상,인하대}>" 0.1024
"1405" "<{서울대,이상,인하대}>" 0.1376
"1406" "<{대학,이상,인하대}>" 0.1328
"1407" "<{서울대,연구,이상,인하대}>" 0.1024
